TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished,Trajectory
111,127265642,43.0388555,-76.1238622,4,131.0969195,1,1,-1
111,1712600425,43.0773416,-76.1839265,4,132.2566276,7,1,-1
112,757675095,43.0667716,-76.1600742,4,127.9535498,7,1,-1
112,1509440266,43.0307682,-76.1234219,4,138.0641028,8,1,-1
112,234184799,43.025098,-76.1162432,4,999,-1,1,-1
112,528871576,43.0696687,-76.1828588,4,126.2724741,7,1,-1
112,1947862555,43.0248619,-76.1343951,4,139.2363865,1,2,1
112,38604237,43.0378363,-76.1299455,4,128.803701,1,1,-1
112,998966060,43.0440076,-76.2412804,4,139.5695823,4,1,-1
113,1947862555,43.0246999,-76.1343984,4,139.3349703,1,2,1
113,1712600425,43.0771373,-76.1835833,4,131.9157813,7,1,-1
113,1737904745,43.0624335,-76.1651099,4,126.2635125,7,1,-1
113,234184799,43.0249669,-76.1161135,4,131.3972849,8,1,-1
113,1509440266,43.0306619,-76.1232552,4,137.032467,1,1,-1
113,203254937,43.0792289,-76.1811425,4,999,-1,1,-1
113,757675095,43.0666641,-76.1599088,4,128.1544996,7,1,-1
114,127265642,43.0390207,-76.123239,4,131.3729284,1,1,-1
114,2030645982,43.0243078,-76.0453865,4,999,-1,1,-1
114,1691499641,43.0792587,-76.1664719,4,131.2395096,7,1,-1
114,72524579,43.0231202,-76.1315822,4,137.8193893,8,1,-1
114,234184799,43.0248355,-76.1159844,4,131.2157975,8,1,-1
114,1053069655,43.0504912,-76.2271805,4,131.1078676,9,1,-1
